,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
mean_num_c016,0.3756436426742075,-0.18725940745621822,-0.12268074498903668,-0.038304515443271354,-0.3577773434776271,0.04653150517536063,0.0466119001275117,0.012009091058522494,0.030196281435526075,0.0029127463869619867,0.022176500049327287,-0.005790283836277448,-0.04655720639017231,0.016613202378311005,-0.048830779335981914,0.0014641213856603158,0.014000473101573605,-0.3878952029220929,-0.001701666090573822,0.14720995349058327,0.7029907423802088,0.044912522205348075
mean_num_c023,-0.08421317367686755,-0.01672445591616552,0.21179134488648726,0.04723463671858448,-0.0977940489783413,0.5032957729193219,0.1626471778943036,0.09632960963392094,-0.07938565777456126,0.33080177407580913,-0.29489293068837247,0.15680195503239283,0.1264377202782285,0.6341739860607184,0.002570036597171485,0.003614479790763437,-0.03406143665536299,0.017553866144369896,0.001677935041278874,0.0016758192287592213,0.0007675319207103059,7.816052236331087e-05
mean_num_c020,0.24891682871331228,-0.2426053929343115,-0.24689504095819537,-0.059851949928643754,0.47854256376110765,0.08671299005507649,0.11442259956256196,-0.001812880885431122,-0.043055763104095125,0.040968070378173585,-0.02767659563002777,-0.025352343326274476,0.23969728342392432,0.008081909422380842,-0.02958177012869961,0.0015794547212739892,0.02881923439521611,-0.00040007881150345905,0.7075499229461479,0.01514831881553806,-1.5697722768364428e-05,4.0100761160078996e-05
mean_num_c019,0.24808051229940703,-0.24175772615026261,-0.24917927297127235,-0.0603092532629708,0.47773670282259056,0.0889008728421763,0.11537815568701319,-0.000612772186484487,-0.04398375367682601,0.040732455828829686,-0.02834520791468785,-0.02532487812634071,0.24203384405785047,0.00979050842881314,-0.03152395412237935,0.0013916940949931223,0.03134166948979572,-0.004235081274674676,-0.7063731940083665,-0.012639194704952644,-0.00012853140767784938,-3.570047996793152e-05
mean_num_c015,-0.24057466644166262,-0.3317184135469306,-0.1598678493195258,-0.06987773212065186,-0.036426644144297866,0.15545003652914094,-0.3696751666554636,-0.06012532872959697,-0.02385453065547205,-0.02605904218944973,-0.020489150328538142,-0.014062317611088216,-0.030144597245588205,0.01696930339537043,0.7098148854907836,-0.09002568868951318,0.33098133872124236,0.06452546157594488,-0.00022620906050249256,-0.007304666207562322,0.08414699069133669,0.005410659545103487
mean_num_c022,0.148337691847462,-0.015297329794041489,-0.024219805744801707,-0.004788693040657438,0.1338168057414942,-0.4574908767864421,-0.2296087014114313,-0.04940268674571347,-0.23138029972069976,-0.3244485494639398,0.11832144104123221,0.04402494058406784,-0.17975541580809504,0.6980962923898236,-0.015993420642747648,-0.00392860246956251,-0.006149541847510429,-0.009037446501321385,-0.0003412936873609478,0.0018921146488305887,-0.00022515119474502313,-1.1571476390859622e-05
mean_num_c008,0.34087956020530263,0.3765482832444909,0.02072147303760218,0.09787911011162491,0.045423385648158815,0.06355831541067412,-0.09852087348423874,-0.03865869522979337,0.010266473722533701,0.028091253179599263,-0.014044938365286357,-0.022938142611102493,0.07995088035600167,-0.01783732196851238,0.36654313333293537,-0.0025050607135334983,-0.26749245878236294,0.018261213606092817,-0.0009101818567608224,-0.005933552884860454,-0.044360946333534206,0.705776879859722
mean_num_c007,0.3409071314966879,0.3764492980321034,0.020620770907934405,0.09778048273912103,0.04542897256808329,0.06316312186807908,-0.09876429411582248,-0.038787662890788305,0.011168959152065358,0.028587488242210645,-0.014217925452959806,-0.022814621974105418,0.08007178920447744,-0.017620477160055683,0.36676695741955534,-0.0025443419192728214,-0.2676272925181656,0.017908448851599836,-0.0009050774817473894,-0.002730341697350022,0.04491429497232314,-0.7056118144285821
mean_num_year,0.27079261258181164,0.4163383556658432,0.10904682012973729,0.004025052311916893,0.08050184601514813,0.10404734015985637,-0.1559732949091695,-0.0666288996330352,-0.039915996201558446,0.0581945980202931,-0.04380733044280131,0.04369410497858171,-0.010434184036501266,-0.029470429488189846,-0.17587429659389567,-0.057185484011317,0.8068926387107702,-0.014296547698118889,0.0017558838119432517,-0.009062785286453878,9.300918556867221e-05,-0.00014357772838438087
mean_num_c021,-0.0177668128420422,-0.03120172312904346,0.21538857610081466,0.04318096521701325,0.02778399112083145,0.3769255865799981,0.04356139445856037,-0.20885298500732846,0.4577502017054094,-0.42321005039838167,0.5184997202024362,-0.19067424918744136,0.18504771625706185,0.1782153370607076,-0.04063063588768338,0.0011664162474116103,0.0243417236314192,0.0010206089782736662,0.0001593530979740515,0.0014633032663205064,0.00014939439116453193,2.0932315705471567e-07
mean_num_c028,0.019171074756496133,0.005389432607568929,0.06746511597461362,0.0004407073687173538,-0.040102327937147464,-0.03688126589242067,-0.2738920845288927,0.8692752799755016,0.12172253426633842,-0.18433698719327268,-0.03799395734538873,-0.10554301120765384,0.3121234423170747,0.0006803594623167983,-0.04365804943781042,-0.000205822040106429,0.02670935857749208,-0.0022860972953975857,0.0010088951410043218,-0.0005308182032147252,0.00013871887054933566,7.086698308641813e-06
mean_num_c039,0.021453983174980727,-0.035198866996814675,-0.06430225867175948,-0.03856610847267181,0.03371445071534771,-0.3572788840067103,-0.18159037124559513,-0.1125635272048747,0.7706384658270841,0.40585768396685423,-0.1553380432638642,0.053304075678636355,0.06276378672809783,0.16665438435584343,-0.022485647084942235,-0.0028042942684888693,0.01740752389987209,-0.0024968472276049904,-0.0007689813061856841,-0.0031866932536574804,-0.011241297885992943,0.0001192870589609142
