,mean_num_c007,mean_num_c008,mean_num_c009,mean_num_c011,mean_num_c012,mean_num_c013,mean_num_c014,mean_num_c015,mean_num_c016,mean_num_c017,mean_num_c018,mean_num_c019,mean_num_c020,mean_num_c021,mean_num_c022,mean_num_c023,mean_num_c024,mean_num_c028,mean_num_c031,mean_num_c032,mean_num_c033,mean_num_c039,mean_num_c048,mean_num_c072,mean_num_c101,mean_num_c105,mean_num_c108,mean_num_year
mean_num_c019,0.19883131826290654,0.198773599046262,0.1927763267830596,0.21269928447100686,0.3452632254552454,0.001036369506514583,0.00935349678623428,-0.07613571354357934,0.3473309216078167,0.35131843474125457,0.0041659397420917834,1.0,0.9932535967988306,-0.050415500850948126,0.18095530851098657,-0.14209136905346936,-0.11437626150437043,-0.03145010480279103,-0.06303563610013325,-0.11748759302162702,0.09368526352371706,0.04776692664495031,0.009173489528688784,-0.007844381454432366,,,,0.08183707906208135
mean_num_c020,0.19972279432620438,0.19966297692576868,0.19786051487847295,0.2177347544806761,0.3464095207898655,0.0004723700585802636,0.009924839520251996,-0.07664407692346002,0.34858868545417704,0.35260951674816987,0.0041882522458645925,0.9932535967988306,1.0,-0.049823297345015734,0.1825232699147719,-0.1439497027362698,-0.11625339955655462,-0.03262021770883709,-0.060647961376640636,-0.11671519906819953,0.09061279175420169,0.0497028950938788,0.010451124313188755,-0.008015003030191124,,,,0.08234067724970238
mean_num_c021,-0.007146290747144575,-0.00712920885513221,0.14311661202576312,0.13435452061674855,-0.0479587968503466,0.0017162979661753995,0.007327765627188176,0.012359680466834189,-0.04914636359705919,-0.0493248523447738,0.0010765339121664652,-0.050415500850948126,-0.049823297345015734,1.0,-0.08261497329410876,0.09551702619003484,-0.00934295880296833,-0.01677505174028659,0.00694961643462022,0.038543393109461206,0.016549685310501144,-0.0260034420056487,0.02380350522301613,-0.005408869895849038,,,,-0.01343631032841511
mean_num_c022,0.19452921635644127,0.19445870605727042,0.1278202435438402,0.14202042858388392,0.15611103508996504,0.011667109497737277,-0.013116889554586111,-0.12149536837536475,0.1681302060036535,0.18006880421455,0.0024367650346260182,0.18095530851098657,0.1825232699147719,-0.08261497329410876,1.0,-0.20152507101944556,-0.15174136705469612,0.02906082679879893,0.02248054643521467,0.0338327991940184,0.01518222639196124,0.051427388882477276,0.02065198068061664,0.0017758541878188812,,,,0.15115313564340985
mean_num_c023,-0.11729828628878448,-0.11725872312586264,0.0684797232443834,0.048430905156750935,-0.10242223597903287,0.00794212110368453,0.015317490904535868,0.057286664757923926,-0.1095348799172033,-0.12448759521346664,0.014657963824604601,-0.14209136905346936,-0.1439497027362698,0.09551702619003484,-0.20152507101944556,1.0,0.42000559568124207,-0.004704080079974296,0.03922146882705577,0.03126899259167214,-0.00829929563833273,-0.11056959521116635,0.02041484566848612,0.012362996537983173,,,,-0.04884027204317931
mean_num_c024,-0.0856039849246773,-0.08559098990956687,0.029462598801596428,0.013631606740590543,-0.07371639235933404,0.005348293981119204,0.011599280494827877,0.038715059702667795,-0.0776194845289592,-0.08804446548716444,0.007370998864156275,-0.11437626150437043,-0.11625339955655462,-0.00934295880296833,-0.15174136705469612,0.42000559568124207,1.0,-0.0006025860639627897,0.023747836721211838,0.0107592289024285,-0.02661892242129038,-0.054737462068606996,0.0234186916378043,0.006377337419583524,,,,-0.04228057000129237
mean_num_c028,0.04431059341103563,0.0442986463773065,0.052090257157835676,0.055768440894919905,0.015813759507327284,-0.0019469630112406637,-0.013841846640180582,-0.004609368987372424,0.015842543614939555,0.017531425497244246,-0.008817845340435213,-0.03145010480279103,-0.03262021770883709,-0.01677505174028659,0.02906082679879893,-0.004704080079974296,-0.0006025860639627897,1.0,0.010878226073150858,-0.020647703251469057,-0.015236351662069098,0.006029492630091677,-0.00610876084610434,-0.0013662346950976218,,,,0.01962310926836897
mean_num_c031,-0.047008114881086305,-0.047001108580277735,0.18718839355479588,0.18162876034505587,0.029017333773766772,-0.004525097256085843,0.007262285668619506,0.013617279429353573,0.026778586998015302,0.028454884224434117,-0.003936163977680471,-0.06303563610013325,-0.060647961376640636,0.00694961643462022,0.02248054643521467,0.03922146882705577,0.023747836721211838,0.010878226073150858,1.0,0.10053653277397089,-0.01033945619092192,-0.0013783327829932945,0.04181003814847013,0.016014704006329157,,,,-0.04072604726625551
mean_num_c032,-0.05882241728751394,-0.05882496652397496,0.17472316860127754,0.16831948080875855,0.036721331977344805,-0.004087406239447934,0.0005973312632037391,-0.006318883962915093,0.03681147872153445,0.03850647953353857,0.0002388634589971108,-0.11748759302162702,-0.11671519906819953,0.038543393109461206,0.0338327991940184,0.03126899259167214,0.0107592289024285,-0.020647703251469057,0.10053653277397089,1.0,0.016522812053835864,-0.00561275477137776,0.0680641266940219,0.007764767614760808,,,,-0.06961876161065844
mean_num_c033,0.056793386420107755,0.056792371397276484,0.025460815579316298,0.031997620526815214,0.0725506964386182,0.004575351266541834,0.0025660308245689387,-0.024075643562092457,0.07394519705818997,0.07319626257113758,0.0036082300983620984,0.09368526352371706,0.09061279175420169,0.016549685310501144,0.01518222639196124,-0.00829929563833273,-0.02661892242129038,-0.015236351662069098,-0.01033945619092192,0.016522812053835864,1.0,0.015361958048368164,-0.016674406987018345,-0.07116702527223825,,,,0.05460539835438206
