,mean_num_c009,mean_num_c011,mean_num_c018,mean_num_c048,mean_num_c014,mean_num_c013,mean_num_c031,mean_num_c032,mean_num_c017,mean_num_c012,mean_num_c016,mean_num_c023,mean_num_c020,mean_num_c019,mean_num_c015,mean_num_c022,mean_num_c008,mean_num_c007,mean_num_year,mean_num_c021,mean_num_c028,mean_num_c039
mean_num_c016,0.21670995582943367,0.2613620550849166,-0.004924304702434648,0.06879163793670381,-0.013435965672331823,0.00435622112901999,0.0205989359919543,0.04742003745982685,0.9692411876249893,0.9922372547017443,1.0,-0.11552291043433317,0.3520389355247178,0.35142768798068225,-0.24011563046471893,0.17821261026560417,0.38319730924054657,0.383378767101498,0.21595818797681243,-0.047083494279774485,0.02880192957257075,0.0484131206221442
mean_num_c023,0.06745266391185271,0.04636073740023441,0.014120056526330553,0.021040819786131336,0.014117573814751662,0.005130641283877115,0.03469218027701952,0.03441022906223296,-0.1327303211286331,-0.10875345946175864,-0.11552291043433317,1.0,-0.1553318043127639,-0.15314560162786503,0.055567663677330986,-0.19668389112611398,-0.11389433496146677,-0.11394163108232187,-0.04600054480570242,0.08877805642378674,-0.004156401675358552,-0.09370893221530105
mean_num_c020,0.199612298514157,0.21872485487691254,0.0007417317578650355,0.015496320461442477,0.0020304854096571128,0.00025027094635986886,-0.06927894251551599,-0.11130031749955326,0.35701728276286937,0.35007741536335474,0.3520389355247178,-0.1553318043127639,1.0,0.9937178744102081,-0.07720327579769186,0.18663728112828726,0.1970047106534151,0.1970869892806619,0.07977585367032206,-0.05737336636235579,-0.026301928970765068,0.048088182221726575
mean_num_c019,0.19612223433898016,0.21537358911440863,0.0008161482363795343,0.01423832634415036,0.001880982478685865,0.0006789748400535143,-0.07055507306220407,-0.11206616666886651,0.3561306716174557,0.3494907220006597,0.35142768798068225,-0.15314560162786503,0.9937178744102081,1.0,-0.07699195787980058,0.1860599391664817,0.19653673334046007,0.19661954197764875,0.08019262612106665,-0.05692568487448805,-0.025430220257892322,0.04674012859289261
mean_num_c015,-0.1187665940286246,-0.11215034169250243,0.02648575859476296,-0.38707471471321003,0.01988488219172977,0.017341162556700093,0.016928069841864395,-0.009805822781633429,-0.23455011406964918,-0.12632397387607833,-0.24011563046471893,0.055567663677330986,-0.07720327579769186,-0.07699195787980058,1.0,-0.11629845398114833,-0.5819585402693197,-0.5818143040177306,-0.5770610892001079,0.013450131313703746,-0.016363048829925994,0.015212499993353413
mean_num_c022,0.12488378114196443,0.13868579357686636,-0.0026146589251918057,0.01834672796993166,-0.010612229502065798,0.0022150043633502444,0.028020821884125732,0.0313890004011457,0.1895185777187586,0.16738856420238551,0.17821261026560417,-0.19668389112611398,0.18663728112828726,0.1860599391664817,-0.11629845398114833,1.0,0.19014413373731473,0.19022682922274187,0.1479889387511212,-0.08576173206946623,0.024950134819823045,0.03845885702813609
mean_num_c008,0.0945446843350056,0.13238402979716998,0.0024481234259652843,0.015365379419525463,0.011483340553423418,-0.00476175843029172,-0.05446011154098432,-0.055586253704376774,0.3648784770343913,0.32218305048154194,0.38319730924054657,-0.11389433496146677,0.1970047106534151,0.19653673334046007,-0.5819585402693197,0.19014413373731473,1.0,0.9999771283532587,0.7852688639116716,-0.011484682908243988,0.05983061093620323,0.011229967807023695
mean_num_c007,0.09458286796227473,0.13244452372578983,0.002384194926588475,0.015334951812499003,0.011412215623776081,-0.004841311924768204,-0.05442412082636318,-0.055527152896320715,0.36496903092723154,0.32224695604805553,0.383378767101498,-0.11394163108232187,0.1970869892806619,0.19661954197764875,-0.5818143040177306,0.19022682922274187,0.9999771283532587,1.0,0.7851706036746463,-0.011531733022580523,0.05981855190811939,0.012270044484480252
mean_num_year,0.11671938924808449,0.15702512718140005,-0.12155564030701456,-0.06066924140451895,-0.08376046828908712,-0.07432291294189357,-0.046368833393504796,-0.06810236176519177,0.2082926149402385,0.1520836595233998,0.21595818797681243,-0.04600054480570242,0.07977585367032206,0.08019262612106665,-0.5770610892001079,0.1479889387511212,0.7852688639116716,0.7851706036746463,1.0,-0.01533414238221872,0.032609035179586035,-0.022123712492738788
mean_num_c021,0.1403862813041975,0.13006131027126658,0.007181059093826425,0.021575033464547345,0.003337699602886382,-0.0011071876047835543,0.00676283419017672,0.043322403261174196,-0.05004190680178902,-0.04548854178202906,-0.047083494279774485,0.08877805642378674,-0.05737336636235579,-0.05692568487448805,0.013450131313703746,-0.08576173206946623,-0.011484682908243988,-0.011531733022580523,-0.01533414238221872,1.0,-0.010287768840307838,-0.03575787004843574
mean_num_c028,0.05946053543116435,0.06254580081679002,-0.008122699745118006,0.0028983822733696586,-0.010043908080629391,0.0018989696659154468,0.01345615924032278,-0.029917876847922107,0.0290026483044387,0.027656339087738055,0.02880192957257075,-0.004156401675358552,-0.026301928970765068,-0.025430220257892322,-0.016363048829925994,0.024950134819823045,0.05983061093620323,0.05981855190811939,0.032609035179586035,-0.010287768840307838,1.0,0.003502794688345157
mean_num_c039,0.0022037120110827233,0.010080329498816166,-0.0048642162193538434,-0.01006182014678388,-0.014668591334134425,-0.0018776932151303588,0.002423508790615178,-0.001171370729588551,0.04394775398065641,0.035376258489009355,0.0484131206221442,-0.09370893221530105,0.048088182221726575,0.04674012859289261,0.015212499993353413,0.03845885702813609,0.011229967807023695,0.012270044484480252,-0.022123712492738788,-0.03575787004843574,0.003502794688345157,1.0
